Filename: 2019-01-18 Rotation Phospho-flow Exp BAD Unstim_01_0_CD45_viSNE_UMAP_FlowSOM.fcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event #,Time,Event_length,75As,89Y_CD45,103Rh_Rh,138Ba_barium,139La,140Ce,141Pr,142Ce_CD19,143Nd,144Nd_p-PLCy2,145Nd_CD4 (v),146Nd_CD8a (v),147Sm_p-STAT5,148Sm_CD14,149Sm,150Sm,151Eu,152Sm,153Eu_p-STAT1,154Gd,155Gd,156Gd,157Gd,158Gd_p-STAT3,159Tb,160Dy,161Dy,162Dy,163Dy,164Dy,165Ho,166Er,167Er,168Er,169Tm,170Yb_CD3,171Yb,172Yb,173Yb,174Yb_HLA-DR (v),175Lu_p-STAT6,176Lu,190BCKG,191Ir_Ir,193Ir_Ir,194Pt,195Pt,209Bi_CD16 (v),Center,Offset,Width,Residual,tSNE1,tSNE2,UMAP1,UMAP2,cluster
12,101018.5156,17,0,339.8659058,0,35.77979279,0.286459774,0,0,0,0,5.674287796,48.86597443,0.150236234,0.176788285,1.119084477,0,0,1.021010756,0.012552691,1.399374843,0,0,0,0,2.574695587,0,0,1.02482605,0,0,0,0,0,0,0.03290749,0,39.50265884,0.006285608,0,0,0,3.934322119,0,0.958202064,2495.366211,4477.354492,47.64041901,9.931318283,5.481372356,624.3099976,106.6389999,54.22299957,84.31700134,80.82373047,-0.526971519,-3.076841831,0.290925264,7
13,101027.3438,26,0,344.6156311,0,45.62810516,0,2.47501874,0,0,0,1.876488328,36.23136139,0.71421349,2.273471117,0,0,0,0,1.987046361,1.24250412,0,0,0,0,0,0,0,1.487012148,0.260212302,0,0,0,0,0.646328628,2.404040813,0.643237948,109.6733093,0,0,0,0,4.450719833,0,1.811888576,1559.97168,2838.314209,37.06383896,15.06203747,0,957.117981,106.387001,81.6309967,91.66699982,44.56745148,19.99063873,-3.046134233,3.249217749,7
14,101174.1641,19,0,494.3401794,0,84.30254364,0,0,0,0,0,0.202368721,0,19.40337372,0,3.79090786,0,0,0,0,4.360814571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098523855,0.647017121,0,0,0.235059425,4.191255093,0,3.711167812,2218.585938,3925.741943,57.19555283,6.633155823,98.67106628,731.2890015,93.3030014,52.50899887,82.46199799,7.644824505,99.96123505,6.21248579,-7.049030304,4
15,101185.9922,18,0,669.1287231,0,40.01564789,0,1.073455215,0,0,0,0,0,19.29119682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.088046193,1.889715791,0,1.599532843,0,0,2.729387045,0,0,0,0,0,0,1.635866046,1755.248535,3071.311279,15.14257717,5.853045464,144.6094208,633.6040039,94.23400116,51.5530014,112.1439972,6.52771759,104.9370041,6.195186138,-7.234985352,4
16,101333.7109,21,0,422.4373474,0,57.16796494,0,0,0.297695518,0,0,3.544847012,12.81636333,4.869544029,4.566454887,142.917923,0,0,0.901061416,0,3.892476797,0,0,0,0,1.155236602,0.080980055,0,0,0,0,0.565848589,0,0,0,0,0,0,0,0,0,20.80023003,3.816081524,0,1.239650846,2582.163818,4616.216309,55.59127045,8.279464722,0.801779091,768.4130249,93.01799774,57.82300186,87.99700165,-20.11808777,41.10917282,8.411204338,3.564292669,2
17,101362.7188,16,0,893.2606201,0,63.93563843,0.85124588,0,0,3.391084194,0,1.356398702,120.6111984,0,0.037717342,0,1.017499804,0,0,0,0.428635299,0,0,0,0,0,0,0,7.354516029,0,0,0,0,2.401059866,1.966499686,6.911160469,0.153743893,307.5057678,0,0,1.794424176,0.192127064,0.318191141,0,0.006571274,1752.998779,3317.879883,31.29371643,3.733887672,0,553.4060059,81.38400269,40.43799973,137.1109924,-22.05006981,-128.1893921,-7.451990128,5.853826523,7
18,101365.6797,21,0,494.0843506,0,54.34396744,0,0,0,0,0,0,58.14525223,2.033533096,2.375428438,0,0,0,0,0,3.870625019,1.279793262,0,0,0,3.092931747,0,0,1.490683436,0,0,0,0,6.796738625,1.617810011,4.137731075,0,318.9553223,0,0,0,4.056566238,0,0,4.213881016,1578.282715,2744.561523,17.34316063,8.363654137,0,741.8189697,96.66300201,61.38700104,117.8880005,61.22056198,-3.489667416,-7.158553123,5.075163841,7
19,101401.2266,17,0,785.0404663,0.781976938,48.01612091,0,0,0,0.179015577,0,5.494003296,0,18.99244881,4.02927351,0,0,0.641362965,0,0,10.63925362,0,0,0,0,0.698468864,0,0,0,0,0,0,0,0,0,0,0,0.011035172,0.850502133,0,0,4.202036858,1.906893492,0,0.020120423,1881.847168,3448.062256,33.85674286,7.847994328,182.5288239,591.2390137,98.19200134,51.82699966,129.2649994,3.521016598,107.2799301,6.273746014,-7.412308693,4
20,101420.5078,16,0,245.4928741,0.192404285,47.28272247,1.468023658,0,0,0,0,0.648741663,0.195521161,1.271812916,0.01228722,1.396761775,0,0,0.800413013,0,0.899721086,0,0,0,0.217600808,0,0,0,0.850561082,0,0,0,0,0,0,0,0,0,0,0,0,1.086133957,1.269999862,0,1.679566145,1682.622681,2947.654785,32.65913773,6.58181715,0,576.6799927,98.11699677,46.79999924,69.70800018,7.961688995,42.59742737,3.346405745,-2.850501537,4
21,101490.9609,18,0,821.4317017,0.372748345,56.34660721,0,0,0,0,0,0.594737113,158.4667358,8.049479485,0,0,0,0,0,0,2.16812849,0,0,0,0,0,0,0,3.648274183,0,0,0,0,0,0,0.091674894,1.748539567,175.7502441,0,0,0,1.251378059,1.025665164,0,0.496252954,2065.709229,3504.003662,58.53637314,8.449829102,0.49427712,587.1190186,82.32299805,44.70999908,117.4189987,-6.258918762,-40.32978821,-8.397825241,2.003857613,7
